timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649901300000,89.933,91.966,88.366,91.766,89.333
1649901600000,90,92.866,89,92,90
1649901900000,90.033,93,89.068,92.633,90.433
1649902200000,90.466,93,89.733,92.966,91
1649902500000,92.2,93,91.3,93,91
1649902800000,92.266,93,91.566,93,91
1649903100000,92.266,93.033,91.966,93.2,91.04
1649942400000,92.2,92,91,92.266,91.214
1649942700000,92.033,92,90.966,92,91.166
1649943000000,91.8,92.433,90.966,92.6,91.933
1649943300000,91.965,93,90.866,92.766,91.733
1649943600000,91.866,92.466,90.766,93.379,92
1649943900000,92,92.3,90.3,93,92.333
1649944200000,91.966,91.933,90.5,92.966,92.933
1649944500000,92,91.931,90.433,93,93
1649944800000,91.2,92.066,90,92.9,92.933
1649945100000,90.9,91.8,89.633,92.533,92.666
1649945400000,90.533,91.366,89,92,92.4
1649945700000,90.033,90.933,89,91.966,92
1649946000000,90.033,91,89,92,92
1649946300000,90,90.533,89,91.7,91.566
1649946600000,89.827,90.066,88.233,91.344,91.266
1649946900000,90,90,88.433,91.066,91.066
1649947200000,90,90.066,88.827,91.033,91.733
1649947500000,90,89.6,88.033,90.933,91.172
1649947800000,89.7,89.344,88.62,90.133,91.066
1649948100000,89.533,89,88.866,90.033,91
1649948400000,89.7,89.133,88.833,89.866,91
1649948700000,89.933,88.166,89,89.1,91.366
1649949000000,89.6,88.033,88.966,89,91
1649949300000,89.8,88.033,88.9,88.633,91.1
1649949600000,89.103,87.666,88.466,88.896,90.866
1649949900000,88.8,87.033,88,88.1,90.266
1649950200000,88.133,86.966,87.566,88,90.033
1649950500000,88,86.758,87.233,88,90
1649950800000,88.033,86.233,87,87.533,90
1649951100000,88.6,86.4,87,87.066,90.033
1649951400000,88.966,86,87.666,87.833,90.9
1649951700000,89.033,86.066,88.1,88,91
1649952000000,88.966,86,88,88,90.933
1649952300000,88.4,86.033,88,87.933,90.366
1649952600000,88,86,87.233,87.206,89.7
1649952900000,87.5,86,86.733,87.4,89.033
1649953200000,87,86,86.066,87.1,88.866
1649953500000,86.933,86,85.933,87.033,88.655
1649953800000,86.833,85.966,85.034,86.9,88.7
1649954100000,87.033,85.133,85.066,86.4,88.933
1649954400000,87,85,85.6,86.166,89
1649954700000,86.233,85.033,85.433,86.333,89
1649955000000,86.933,85,85.433,86.966,89.733
1649955300000,87,85.6,86,87.2,89.466
1649955600000,87,85.766,85.966,87.766,88.6
1649955900000,86.586,85.1,85.2,87.31,88
1649956200000,86.275,85.1,85,87.233,88
1649956500000,86.9,85.166,85,87.166,88.233
1649956800000,87,85.655,85,87.7,88.31
1649957100000,87.033,85.966,85.4,87.333,88.933
1649957400000,87.066,86,85.633,87.466,88.8
1649957700000,87,85.9,85.433,87.8,88.333
1649958000000,87.035,86,85.133,87.966,88.733
1649958300000,87.3,86.333,85.6,88,88.766
1649958600000,87.413,87,85.214,88,88.2
1649958900000,87.233,87,85,88,88
1649959200000,87.366,87,85.137,88,88
1649959500000,86.965,87,85,88,87.266
1649959800000,86.103,87,85,88,87
1649960100000,86,86.733,85,88,87
1649960400000,86,86.4,85,88,87
1649960700000,86,86.033,85,88.133,87.033
1649961000000,86,86.033,85,88.1,87.166
1649961300000,86,86.033,85,88.1,87.3
1649961600000,86,86.066,85,88.033,87.733
1649961900000,86,86,85.2,88,87.9
1649962200000,86,86,85.1,88.068,87.533
1649962500000,86,86.033,85,88,87.033
1649962800000,86,86.068,85,87.766,87
1649963100000,86,85.966,85,87.033,87
1649963400000,85.866,85.833,85,87.266,86.9
1649963700000,86,86,85,87.866,87.4
1649964000000,86.896,86.724,86,88.137,88.379
1649964300000,87.633,87.033,86.066,88.766,89
1649964600000,88.8,87,85.9,88.433,89.233
1649964900000,89,86.9,85.9,87.766,89.966
1649965200000,88.1,86.666,85.966,88.31,90.033
1649965500000,88.5,86.4,86.2,88.933,89.933
1649965800000,88.066,86,86.433,87.733,89
1649966100000,87.866,85.379,85.62,87.266,88
1649966400000,88,86,85,87,87.9
1649966700000,88,85.633,84.966,86.166,87.466
1649967000000,87.9,85,84,86,87.533
1649967300000,87.766,85,84.6,85.6,87.966
1649967600000,88,85,85.133,85.6,89.066
1649967900000,88,84.933,86.666,86,89.633
1649968200000,88.433,85.933,87.8,86,90.333
1649968500000,89,86.233,88.9,86.666,91.7
1649968800000,89.5,87,88.8,87.8,91.866
1649969100000,89.766,87.62,88.666,87.966,91
1649969400000,89.033,88,87.344,88.633,90
1649969700000,89,87.533,87.266,87.933,90.166
1649970000000,89,86.766,87.133,86.533,89.966
1649970300000,88.033,86,85.466,85.933,89.965
1649970600000,87.689,85.275,83.6,86,90.689
1649970900000,87.033,85.481,84.066,86,91.366
1649971200000,87.9,85.5,85.518,86.275,92
1649971500000,88,85.933,85.896,86.266,91.8
1649971800000,88.3,86,87.433,86.4,92
1649972100000,89,86.241,88.103,86.666,92
1649972400000,89,86.733,88.066,86.333,92
1649972700000,89,86.933,88.066,86.1,91.5
1649973000000,88.033,86.033,88,85.766,90.4
1649973300000,87.5,85.1,87.033,84.133,89.933
1649973600000,87,84.066,86.466,83.233,89.2
1649973900000,87,83.966,87,83.166,90
1649974200000,87.933,84.766,87.5,83.931,91.266
1649974500000,89.2,86.966,89.933,85.666,93.3
1649974800000,90.566,88.533,90.1,87.266,94.379
1649975100000,91.433,89.633,91,88.166,95
1649975400000,92.633,90.655,91.965,90.866,95.333
1649975700000,93,92,92.5,91.966,95.7
1649976000000,93,92,93,92.533,95.1
1649976300000,93,92,93,92.033,94.933
1649976600000,93,92,91.466,92,94.133
1649976900000,92.275,92,91.133,91.966,94
1649977200000,92,92,90.8,91.827,94
1649977500000,92,91.666,90.166,91.433,94
1649977800000,92,91,90.6,91.3,93.6
1649978100000,92,91,90.866,91.433,93.931
1649978400000,92.133,91.1,91,91.966,93.133
1649978700000,92.7,92,91,92,93.1
1649979000000,93,92,90.9,92,93.266
1649979300000,93,92,91.133,92.4,93.933
1649979600000,93.655,92.8,91.666,93,94.6
1649979900000,94,93,92.1,93.5,94.8
1649980200000,93.206,93,89.586,93.777,93.862
