timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649806800000,0,0,0,0.1,0
1649807100000,0,0,0,0,0
1649807400000,0,0,0,0,0
1649807700000,0,0,0,0,0
1649808000000,0,0,0,0,0
1649808300000,0,0,0,0,0
1649808600000,0,0,0,0,0
1649808900000,0,0,0,0,0
1649809200000,0,0,0,0,0
1649809500000,0,0,0,0,0
1649809800000,0,0.066,0,0,0
1649810100000,0,0,0,0,0
1649810400000,0,0,0,0,0.066
1649810700000,0,0,0,0,0
1649811000000,0,0,0,0,0
1649811300000,0,0.033,0,0,0
1649811600000,0.033,0,0,0,0.033
1649811900000,0,0,0.166,0,0
1649812200000,0.068,0,0,0,0.068
1649812500000,0.033,0,0,0.033,0.033
1649812800000,0,0,0,0.033,0.033
1649813100000,0,0,0,0,0
1649813400000,0,0,0.033,0,0.033
1649813700000,0,0,0,0,0
1649814000000,0,0,0,0,0
1649814300000,0.033,0,0,0,0
1649814600000,0,0,0,0,0
1649814900000,0.033,0,0,0,0
1649815200000,0,0,0,0,0
1649815500000,0,0,0,0.033,0
1649815800000,0,0,0,0,0
1649816100000,0,0,0,0,0
1649816400000,0,0,0.034,0,0
1649816700000,0,0,0,0.033,0
1649817000000,0.033,0,0.034,0,0.066
1649817300000,0.033,0,0.033,0,0
1649817600000,0,0,0.1,0.066,0
1649817900000,0,0,0,0,0.066
1649818200000,0,0.033,0,0,0.066
1649818500000,0,0.033,0,0.033,0
1649818800000,0,0,0,0,0
1649819100000,0,0,0,0,0
1649819400000,0.033,0,0.066,0,0
1649819700000,0,0,0.068,0.066,0
1649820000000,0.033,0,0.066,0,0
1649820300000,0,0.066,0,0,0
1649820600000,0,0,0.034,0,0.034
1649820900000,0.033,0,0.033,0,0
1649821200000,0.033,0.033,0,0,0
1649821500000,0,0,0,0,0
1649821800000,0.033,0,0.066,0,0
1649822100000,0.034,0.033,0,0,0
1649822400000,0,0,0.033,0,0
1649822700000,0,0.033,0,0,0
1649823000000,0,0,0,0.033,0
1649823300000,0.033,0.1,0.133,0.133,1.103
1649823600000,0.066,0.033,0.066,0,0.133
1649823900000,0.066,0,0.066,0.033,0.1
1649824200000,0,0.033,0,0.034,0.1
1649824500000,0.1,0,0.033,0.068,0.033
1649824800000,0,0,0.033,0,0.033
1649825100000,0,0,0,0.033,0.066
1649825400000,0,0,0.033,0.033,0.066
1649825700000,0.033,0,0.066,0.066,0
1649826000000,0.066,0.033,0.034,0.066,0
1649826300000,0,0,0,0,0.034
1649826600000,0,0,0,0,0
1649826900000,0,0,0.1,0,0
1649827200000,0.033,0,0,0,0
1649827500000,0,0,0.133,0,0.033
1649827800000,0,0,0.033,0.033,0.033
1649828100000,0,0.066,0.033,0,0.033
1649828400000,0.103,0.068,0.033,0,0.066
1649828700000,0.066,0,0.033,0,0
1649829000000,0.033,0,0.068,0.033,0
1649829300000,0,0,0,0,0
1649829600000,0,0.068,0,0,0.033
1649829900000,0,0.066,0,0,0
1649830200000,0,0,0,0,0
1649830500000,0,0,0,0,0
1649830800000,0,0,0,0,0
1649831100000,0,0,0.066,0,0
1649831400000,0,0,0.037,0,0
1649831700000,0,0,0.1,0.033,0
1649832000000,0,0.033,0,0.1,0.1
1649832300000,0.033,0,0,0.233,0.066
1649832600000,0,0.1,0.033,0,0
1649832900000,0.1,0.066,0,0,0
1649833200000,0,0,0,0.034,0
1649833500000,0,0,0,0.033,0
1649833800000,0,0,0,0,0
1649834100000,0,0,0,0,0
1649834400000,0,0,0,0,0
1649834700000,0.166,0,0.266,0,0.233
1649835000000,1,0.366,0.933,0.466,1
1649835300000,1.033,1.033,1.103,0.933,1.166
1649835600000,1.1,1,1.2,1,1
1649835900000,1.066,1.033,1.2,1.066,1.066
1649836200000,0.966,0.966,1,0.933,0.733
1649836500000,0.366,0.7,0.666,0.793,0.166
1649836800000,0.633,0.6,0.866,0.68,0.4
1649837100000,1,0.9,1.033,0.9,1
1649837400000,1.066,1.033,1.066,1.033,1.066
1649837700000,1.3,1.172,1.466,1.033,1.133
1649838000000,1.266,1.3,1.724,1.103,1.233
1649838300000,1.533,1.4,1.733,1.3,1.4
1649838600000,1.666,1.3,1.9,1.4,1.517
1649838900000,1.666,1.733,1.766,1.5,1.566
1649839200000,1.833,1.533,2,1.633,1.6
1649839500000,1.733,1.833,1.966,1.655,1.466
1649839800000,1.033,1.3,1.2,1.2,1
1649840100000,0.933,1,1,0.966,0.733
1649840400000,0.931,0.966,1,1,0.8
1649840700000,1.074,1.034,1,1,1.166
1649841000000,1.241,1.133,1.666,1.066,1.266
1649841300000,1.583,1.23,1.583,1.166,1.416
1649841600000,1.05,1.25,1.736,1.05,1
1649841900000,1.066,1.1,1.333,1,0.966
1649842200000,0.966,1,1.1,1,0.533
1649842500000,1.3,0.933,1.2,0.931,0.333
1649842800000,1.1,0.9,1.433,0.866,0.133
1649843100000,0.9,0.566,1.266,0.766,0.133
1649843400000,0.827,0.366,1.2,0.633,0.033
1649843700000,0.166,0.241,0.5,0.666,0
1649844000000,0.066,0.2,0.366,0.433,0.066
1649844300000,0,0.033,0.068,0.033,0.033
1649844600000,0.366,0,0.206,0.2,0.8
1649844900000,1,0.866,0.862,0.866,1.172
1649845200000,1.103,1.068,1.034,1,1.068
1649845500000,1.1,1.3,1.166,1.5,1.413
1649845800000,1.366,1.733,1.233,1.448,1.214
1649846100000,1.433,1.266,1.3,1.2,1.166
1649846400000,1.31,1.366,1.533,1.233,1.066
1649846700000,1.233,1.344,1.566,1.333,1.133
1649847000000,1.233,1.366,1.366,1.166,1.066
1649847300000,1.3,1.166,1.482,1.2,1.1
1649847600000,0.966,1.033,1.2,1,0.766
1649847900000,0.8,1,1,1,0.448
1649848200000,1,1,0.966,0.9,0.866
1649848500000,1,1,1.033,1.033,1.1
1649848800000,1.1,1.133,1.233,1,1.066
1649849100000,1.3,1.166,1.533,1.1,1.266
1649849400000,1.464,1.482,1.655,1.31,1.31
1649849700000,1.5,1.724,1.433,1.266,1.4
1649850000000,1.566,1.6,1.833,1.366,1.4
1649850300000,1.766,1.766,1.833,1.633,1.166
1649850600000,1.8,1.5,1.827,1.551,1.466
1649850900000,1.4,1.733,1.733,1.4,1.172
1649851200000,1.033,1.166,1.1,1.033,0.933
1649851500000,0.966,1,1,1,0.833
1649851800000,0.966,1,1,1.034,0.933
1649852100000,1.2,1.033,1.033,1,1.1
1649852400000,1.344,1.133,1.2,1.066,1.233
1649852700000,1.1,1.3,1.366,1.133,1
1649853000000,1.033,1.068,1.1,1.1,1
1649853300000,1,1.066,1,1,0.933
1649853600000,1,1.033,1,1,0.827
1649853900000,0.966,1,1.033,1,0.8
1649854200000,0.866,0.966,0.866,1,0.7
1649854500000,0.466,0.7,0.666,0.833,0.8
1649854800000,0.2,0.827,0.166,0.758,0.033
1649855100000,0,0.5,0.2,0.533,0.266
1649855400000,0,0.266,0,0.4,0.3
1649855700000,0.066,0.033,0.066,0.033,0.066
1649856000000,0.033,0,0.033,0.133,0.066
1649856300000,0.066,0.066,0,0.1,0.1
1649856600000,0.066,0.1,0,0.066,0.133
1649856900000,0,0.1,0.103,0.133,0.034
1649857200000,0.033,0,0.066,0.066,0.166
1649857500000,0.033,0.466,0.066,0.3,0.133
1649857800000,0.4,0.466,0.5,0.517,0.466
1649858100000,0.466,1.4,0.666,1.833,1.8
1649858400000,0.379,1.533,0.966,2.166,2.133
1649858700000,1.233,1.7,1.533,1.7,1.366
1649859000000,0.733,1.166,1.266,1.3,0.714
1649859300000,0.7,0.827,1.233,0.966,0.931
1649859600000,0.566,0.5,0.793,1.033,0.3
1649859900000,0.5,0.533,0.966,0.633,0.517
1649860200000,0.666,0.366,0.766,0.8,0.533
1649860500000,0.466,0.666,0.733,0.966,0.866
1649860800000,0.333,0.466,0.833,0.689,1.033
1649861100000,0.333,0.666,0.866,0.733,0.566
1649861400000,0.7,2.3,0.733,2.833,2.466
1649861700000,0.758,1.8,0.966,1.933,1.3
1649862000000,0.733,1.724,0.6,1.3,1
1649862300000,0.466,1.4,0.6,1.1,0.666
1649862600000,0.466,0.8,0.655,0.9,0.4
1649862900000,0.266,0.633,0.7,0.714,0.758
1649863200000,0.233,0.566,0.3,0.827,0.366
1649863500000,0.133,0.533,0.266,0.3,0.266
1649863800000,0.133,0.266,0.133,0.366,0.333
1649864100000,0.166,0.433,0.2,0.206,0.266
1649864400000,0.233,0.333,0.066,0.6,0.666
1649864700000,0.178,0.733,0.166,0.566,0.266
1649865000000,0.133,1.551,0.433,1.689,1.333
1649865300000,0.31,1.8,0.533,2.266,1.8
1649865600000,0.642,2.241,1.357,2.103,2.275
1649865900000,1.6,1.9,1.933,2.3,3.266
1649866200000,1.5,1.9,1.7,1.833,2.379
1649866500000,1.433,1.433,1.6,1.7,1.533
1649866800000,1.233,1.3,1.533,1.8,1.466
1649867100000,1.166,1.133,1.433,1.344,2.1
1649867400000,1.241,1.433,1.566,1.966,2.566
1649867700000,1.1,1.533,1.433,1.466,2.166
1649868000000,1.166,1.576,1.333,1.6,1.966
1649868300000,1.3,1.482,1.3,1.7,1.833
1649868600000,1.034,3.066,1.366,3.266,4.1
1649868900000,1.4,2.833,1.551,3.466,2.466
1649869200000,1.433,2.3,1.033,1.933,1.896
1649869500000,1.433,1.9,1.133,1.9,1.1
1649869800000,1.066,1.3,1.066,0.933,0.866
1649870100000,0.866,0.966,1.2,0.793,0.533
1649870400000,0.433,0.733,0.966,0.4,0.433
1649870700000,0.379,0.633,0.7,0.666,0.566
1649871000000,0.666,0.566,0.766,0.766,0.466
1649871300000,0.6,0.931,0.9,0.833,0.833
1649871600000,0.8,1,0.793,1.033,1.066
1649871900000,0.933,1.066,0.933,1.033,1.066
1649872200000,0.933,1.233,0.966,1.866,1.482
1649872500000,0.9,3.6,1.133,4.1,3.689
1649872800000,2,3.9,2.433,3.933,2.766
1649873100000,2.566,3.166,2.4,3.034,2.166
1649873400000,2.066,1.933,2.066,2,2.3
1649873700000,1.724,1.733,1.655,1.866,1.5
1649874000000,1.433,1.1,1.466,1.433,1.466
1649874300000,1.233,1.137,0.833,1.2,1.266
1649874600000,1.033,1.366,0.965,1.466,2.333
1649874900000,1.166,1.333,1.1,2.066,1.666
1649875200000,1.233,1.733,1.433,2.166,1.8
1649875500000,1.333,1.466,1.366,1.233,1.275
1649875800000,1.4,1.9,1.566,1.566,1.966
1649876100000,1.5,1.766,1.533,1.586,1.5
1649876400000,1.333,1.433,1.333,1.551,1.566
1649876700000,1.103,1.433,1.5,1.466,1.533
1649877000000,1,1.9,1.266,1.9,1.533
1649877300000,1.166,4,1.433,3.7,4.866
1649877600000,1.466,3.551,1.566,4.033,3.1
1649877900000,1.966,3.7,1.931,4.466,3.2
1649878200000,2.033,4.4,2.133,3.766,4.666
1649878500000,2.428,3.033,3.3,2.666,2.448
1649878800000,2.466,2.533,2.466,2.1,1.933
1649879100000,1.9,2.366,2.3,2.344,1.4
1649879400000,1.379,1.7,1.8,1.833,1.433
1649879700000,1.366,1.666,1.7,1.666,1.533
1649880000000,1.241,1.433,1.366,1.333,1.6
1649880300000,1.1,1.4,1.2,1.3,0.866
1649880600000,0.8,1.172,1.133,1.366,1.366
1649880900000,0.833,1.115,0.862,1.2,1.033
1649881200000,0.566,1.206,0.866,1.133,0.793
1649881500000,0.6,1.133,0.8,1.2,1.066
1649881800000,0.533,1.033,0.7,1.103,0.966
1649882100000,0.4,1.1,0.666,1.068,0.9
1649882400000,0.833,3.241,0.966,3.333,4.833
1649882700000,1.5,1.666,1.6,2.1,1.933
1649883000000,1.137,1.333,1.2,1.533,1.333
1649883300000,1.2,1.31,1.166,1.033,0.866
1649883600000,0.7,0.966,0.833,0.7,0.433
1649883900000,0.433,0.766,0.275,0.433,0.066
1649884200000,0.166,0.4,0.2,0.1,0.068
1649884500000,0.366,0.866,0.133,0.6,0.366
1649884800000,0.266,0.733,0.233,0.433,0.566
1649885100000,0.2,0.233,0.066,0.333,0.357
1649885400000,0.2,0.266,0.2,0.275,0.133
1649885700000,0.137,0.1,0.166,0.066,0.2
1649886000000,0.034,0.172,0.241,0.241,0.137
1649886300000,0.066,0.172,0.1,0.1,0.133
1649886600000,0.1,0.066,0.066,0.133,0.2
1649886900000,0,0.2,0.103,0.066,0.066
1649887200000,0,0.033,0.033,0.066,0.033
1649887500000,0,0.033,0.066,0,0
1649887800000,0,0.066,0,0.033,0.034
1649888100000,0,0.033,0,0,0
1649888400000,0,0,0,0,0.066
1649888700000,0.066,0.066,0.033,0.133,0.066
1649889000000,0,0.2,0,0,0.033
1649889300000,0.033,0.4,0.133,0.266,0.133
1649889600000,0.066,0.689,0.166,1.206,1.266
1649889900000,0.166,1.4,0.103,1.724,0.966
1649890200000,0.3,1.733,0.566,2.689,1.566
1649890500000,0.433,1.7,0.833,3.866,1.896
1649890800000,0.8,1.866,1.033,2.866,1.933
1649891100000,0.833,1.466,1.166,1.6,0.9
1649891400000,0.74,0.766,1.233,0.896,0.766
1649891700000,0.6,0.9,0.5,0.9,0.4
1649892000000,0.379,0.633,0.3,0.733,0.433
1649892300000,0.3,0.666,0.533,1,0.433
1649892600000,0.466,0.655,0.166,0.7,0.433
1649892900000,0.1,0.866,0.344,0.766,0.466
1649893200000,0.233,0.633,0.333,0.833,0.566
1649893500000,0.266,0.566,0.4,0.866,0.931
1649893800000,0.566,0.933,0.433,1,0.966
1649894100000,0.466,0.966,0.433,1.666,1.466
1649894400000,0.433,0.724,0.466,1.133,0.833
1649894700000,0.482,1.466,0.333,1.689,1.7
1649895000000,0.333,1.033,0.4,1.033,0.666
1649895300000,0.366,0.7,0.366,0.966,0.766
1649895600000,0.333,0.862,0.366,1.666,1.033
1649895900000,0.4,1.4,0.724,1.3,1.133
1649896200000,0.566,0.766,0.592,1.6,0.833
1649896500000,0.333,0.566,0.366,0.633,0.5
1649896800000,0.2,0.2,0.133,0.233,0.137
1649897100000,0.266,0.1,0.233,0.233,0.233
1649897400000,0.033,0.1,0.066,0.1,0
1649897700000,0,0.133,0.033,0,0.1
1649898000000,0,0.068,0,0,0.103
1649898300000,0.033,0,0,0.1,0.034
1649898600000,0,0.066,0.1,0,0
1649898900000,0,0,0,0.066,0.033
1649899200000,0,0,0,0,0.1
1649899500000,0.033,0,0.033,0,0
1649899800000,0.033,0,0.066,0,0
1649900100000,0.033,0,0.066,0,0
1649900400000,0,0.033,0.1,0,0.033
1649900700000,0,0,0,0,0
1649901000000,0,0,0,0,0.066
1649901300000,0,0,0,0,0
1649901600000,0,0.033,0,0,0.033
1649901900000,0,0,0,0,0
1649902200000,0,0,0,0,0
1649902500000,0,0,0,0.033,0
1649902800000,0,0,0.033,0,0
1649903100000,0,0,0,0.033,0
1649942400000,0.1,0.166,0,0.166,0.785
1649942700000,0.033,0.1,0,0.3,0.8
1649943000000,0.033,0.3,0.233,0.633,0.533
1649943300000,0.206,0.3,0.033,0.3,0.5
1649943600000,0.133,0.2,0.066,0.275,0.4
1649943900000,0.266,0.133,0.2,0.033,0.633
1649944200000,0.1,0.2,0.3,0.533,0.133
1649944500000,0.1,0.137,0.1,0.3,0.379
1649944800000,0.066,0.166,0.034,0.133,0.533
1649945100000,0.033,0.166,0.166,0.233,0.4
1649945400000,0.066,0.233,0.1,0,0.233
1649945700000,0,0.033,0,0.1,0.166
1649946000000,0,0.166,0.1,0.033,0
1649946300000,0.033,0.166,0.033,0.133,0.066
1649946600000,0.034,0.166,0.066,0.034,0.266
1649946900000,0.1,0.066,0.066,0.1,0.5
1649947200000,0.133,0.1,0.103,0.1,0.433
1649947500000,0.166,0.1,0.1,0.866,0.586
1649947800000,0.266,0.62,0.31,0.5,0.6
1649948100000,0.066,0.866,0.333,0.8,0.866
1649948400000,0.233,0.766,0.433,1,0.466
1649948700000,0.2,0.566,0.133,1.266,0.333
1649949000000,0.266,0.466,0.233,1.1,0.233
1649949300000,0.333,0.466,0.066,0.666,0.233
1649949600000,0.206,0.533,0,0.482,0.166
1649949900000,0.166,0.4,0.1,0.333,0.133
1649950200000,0.233,0.333,0.133,0.5,0.2
1649950500000,0.2,0.413,0.233,0.366,0.206
1649950800000,0.366,0.533,0.3,0.733,0.333
1649951100000,0.4,0.6,0.206,0.366,0.3
1649951400000,0.266,0.533,0.3,0.6,0.3
1649951700000,0.2,0.6,0.1,0.466,0.266
1649952000000,0.566,0.6,0.1,0.533,0.1
1649952300000,0.3,0.5,0.166,0.566,0.366
