timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649947200000,613.8,609.866,625.241,605.566,588
1649947500000,615.533,622.533,628.833,613.966,590.137
1649947800000,618.9,626.482,628.275,614.766,592.766
1649948100000,628.7,649.833,626.4,624.533,597.766
1649948400000,641.966,665.266,639.866,655.733,617
1649948700000,656.433,718.233,655.1,693.733,640.933
1649949000000,679.633,769.066,681.833,720.333,669.033
1649949300000,703.8,789.166,703,756.966,695.166
1649949600000,729.344,812.733,725.133,779.482,712.733
1649949900000,746.8,849.166,744.066,803.1,730.433
1649950200000,759.5,871.566,757.7,815.466,744.9
1649950500000,771.933,898.034,764.066,828.433,747.241
1649950800000,778.966,902.033,767.366,841.466,754.266
1649951100000,786.366,905.866,775.379,856.2,764.866
1649951400000,796.466,917.4,786.1,864.366,766.4
1649951700000,814.333,933.4,798.3,873.2,787.866
1649952000000,842.8,955.033,828.933,894.033,816.133
1649952300000,872.933,990.9,859.366,932.933,845.066
1649952600000,892.862,1006.733,888.733,956.551,867.666
1649952900000,914.766,1007.666,914.233,965.133,888
1649953200000,937.892,999.833,935.4,967.933,903.166
1649953500000,944.166,990.068,960.466,962.5,900.517
1649953800000,939.6,999.5,964.689,987.4,892.7
1649954100000,947.4,1028.133,959.9,1007.133,893.5
1649954400000,962.766,1053.2,951.333,1019.966,898
1649954700000,974.2,1068.233,949.933,1027.633,896.166
1649955000000,978.566,1078.266,953.233,1029,909.066
1649955300000,994.833,1085.3,960.433,1039.933,940.933
1649955600000,1018.133,1109.566,991.633,1069.033,976.066
1649955900000,1037.172,1146.366,1010.966,1088.965,999.133
1649956200000,1054.172,1164.666,1033.866,1111.333,1019.266
1649956500000,1074.3,1177.5,1055.533,1138.833,1030.033
1649956800000,1082.3,1194.413,1069.896,1145.6,1037.103
1649957100000,1086.933,1204.266,1075.6,1153.233,1032.966
1649957400000,1088.2,1222.3,1073.4,1160.633,1029.933
1649957700000,1084.5,1226.7,1069.033,1153.966,1020.481
1649958000000,1082.892,1218,1065.4,1144.433,1018.4
1649958300000,1080.933,1223.766,1060.333,1147.366,1010.766
1649958600000,1086.517,1183.4,1074.071,1134.633,1024.966
1649958900000,1095.733,1146.133,1092.793,1119.448,1051.413
1649959200000,1100.9,1138.566,1104.31,1123.9,1059.233
1649959500000,1102.896,1137.366,1112.666,1129.933,1060.9
1649959800000,1105.482,1131.888,1112.482,1125.068,1059.814
1649960100000,1103.633,1134.866,1109.103,1121.2,1049.9
1649960400000,1098.233,1130.833,1094.866,1111.466,1043.933
1649960700000,1082.466,1120.766,1075.066,1098.8,1026.933
1649961000000,1064.433,1112.333,1063.033,1079.766,1004.066
1649961300000,1050.833,1108.933,1045.266,1066,990.366
1649961600000,1038.655,1095.533,1021,1050.733,972.766
1649961900000,1020.666,1089.9,1009.766,1040.066,963.633
1649962200000,1023.433,1087.366,1009.966,1037.517,975.866
1649962500000,1033.9,1085.133,1021.1,1048.466,995.433
1649962800000,1037.166,1088.137,1034.266,1057.566,1002.275
1649963100000,1039.599,1086.933,1044,1063.8,1005.666
1649963400000,1030.9,1093.2,1037.4,1053.5,994.7
1649963700000,999.9,1059.133,1006.866,1016.466,944.7
1649964000000,936.275,996.137,946.448,962.965,877.965
